route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"103",1548_PO,1548_1622,"Aleja Przyjaźni",,1,PO_103-02_11,946746,0,0
"103",1549_PO,1549_1589,"Aleja Przyjaźni",,1,PO_103-02_11,948376,0,0
"103",1548_PO,1548_1626,"Lesisko",,0,PO_103-02_12,946747,0,0
"103",1549_PO,1549_1593,"Lesisko",,0,PO_103-02_12,948377,0,0
"103",1548_PO,1548_1630,"Aleja Przyjaźni",,1,PO_103-02_13,946746,0,0
"103",1549_PO,1549_1597,"Aleja Przyjaźni",,1,PO_103-02_13,948376,0,0
"103",1548_PO,1548_1634,"Lesisko",,0,PO_103-02_14,946747,0,0
"103",1549_PO,1549_1601,"Lesisko",,0,PO_103-02_14,948377,0,0
"103",1548_PO,1548_1638,"Aleja Przyjaźni",,1,PO_103-02_15,946746,0,0
"103",1549_PO,1549_1605,"Aleja Przyjaźni",,1,PO_103-02_15,948376,0,0
"103",1548_PO,1548_1642,"Lesisko",,0,PO_103-02_16,946747,0,0
"103",1549_PO,1549_1609,"Lesisko",,0,PO_103-02_16,948377,0,0
"103",1548_PO,1548_1646,"Aleja Przyjaźni",,1,PO_103-02_17,946746,0,0
"103",1549_PO,1549_1613,"Aleja Przyjaźni",,1,PO_103-02_17,948376,0,0
"103",1548_PO,1548_1650,"Lesisko",,0,PO_103-02_18,946747,0,0
"103",1549_PO,1549_1617,"Lesisko",,0,PO_103-02_18,948377,0,0
"103",1548_PO,1548_1654,"Aleja Przyjaźni",,1,PO_103-02_19,946746,0,0
"103",1549_PO,1549_1621,"Aleja Przyjaźni",,1,PO_103-02_19,948376,0,0
"103",1548_PO,1548_1659,"Lesisko",,0,PO_103-02_20,946747,0,0
"103",1549_PO,1549_1625,"Lesisko",,0,PO_103-02_20,948377,0,0
"103",1548_PO,1548_1662,"Aleja Przyjaźni",,1,PO_103-02_21,946746,0,0
"103",1549_PO,1549_1629,"Aleja Przyjaźni",,1,PO_103-02_21,948376,0,0
"103",1548_PO,1548_1667,"Lesisko",,0,PO_103-02_22,946747,0,0
"103",1549_PO,1549_1633,"Lesisko",,0,PO_103-02_22,948377,0,0
"103",1548_PO,1548_1670,"Aleja Przyjaźni",,1,PO_103-02_23,946746,0,0
"103",1549_PO,1549_1637,"Aleja Przyjaźni",,1,PO_103-02_23,948376,0,0
"103",1548_PO,1548_1674,"Lesisko",,0,PO_103-02_24,946747,0,0
"103",1549_PO,1549_1641,"Lesisko",,0,PO_103-02_24,948377,0,0
"103",1548_PO,1548_1680,"Aleja Przyjaźni",,1,PO_103-02_25,946746,0,0
"103",1549_PO,1549_1645,"Aleja Przyjaźni",,1,PO_103-02_25,948376,0,0
"103",1548_PO,1548_1683,"Lesisko",,0,PO_103-02_26,946747,0,0
"103",1549_PO,1549_1649,"Lesisko",,0,PO_103-02_26,948377,0,0
"103",1548_PO,1548_1687,"Aleja Przyjaźni",,1,PO_103-02_27,946746,0,0
"103",1549_PO,1549_1653,"Aleja Przyjaźni",,1,PO_103-02_27,948376,0,0
"103",1548_PO,1548_1692,"Lesisko",,0,PO_103-02_28,946747,0,0
"103",1549_PO,1549_1657,"Lesisko",,0,PO_103-02_28,948377,0,0
"103",1548_PO,1548_1694,"Aleja Przyjaźni",,1,PO_103-02_29,946746,0,0
"103",1549_PO,1549_1661,"Aleja Przyjaźni",,1,PO_103-02_29,948376,0,0
"103",1548_PO,1548_1698,"Lesisko",,0,PO_103-02_30,946747,0,0
"103",1549_PO,1549_1665,"Lesisko",,0,PO_103-02_30,948377,0,0
"103",1548_PO,1548_1702,"Aleja Przyjaźni",,1,PO_103-02_31,946746,0,0
"103",1549_PO,1549_1669,"Aleja Przyjaźni",,1,PO_103-02_31,948376,0,0
"103",1548_PO,1548_1706,"Lesisko",,0,PO_103-02_32,946747,0,0
"103",1549_PO,1549_1673,"Lesisko",,0,PO_103-02_32,948377,0,0
"103",1548_PO,1548_1710,"Aleja Przyjaźni",,1,PO_103-02_33,946746,0,0
"103",1549_PO,1549_1677,"Aleja Przyjaźni",,1,PO_103-02_33,948376,0,0
"103",1548_PO,1548_1714,"Lesisko",,0,PO_103-02_34,946747,0,0
"103",1549_PO,1549_1681,"Lesisko",,0,PO_103-02_34,948377,0,0
"106",1548_PO,1548_1333,"Skotniki Szkoła",,0,PO_106-01_2,945616,0,0
"106",1549_PO,1549_1304,"Skotniki Szkoła",,0,PO_106-01_2,947246,0,0
"106",1548_PO,1548_1336,"Łagiewniki",,1,PO_106-01_3,945617,0,0
"106",1549_PO,1549_1309,"Łagiewniki",,1,PO_106-01_3,947247,0,0
"106",1548_PO,1548_1339,"Skotniki Szkoła",,0,PO_106-01_4,945616,0,0
"106",1549_PO,1549_1312,"Skotniki Szkoła",,0,PO_106-01_4,947246,0,0
"106",1548_PO,1548_1343,"Łagiewniki",,1,PO_106-01_5,945617,0,0
"106",1549_PO,1549_1316,"Łagiewniki",,1,PO_106-01_5,947247,0,0
"106",1548_PO,1548_1347,"Skotniki Szkoła",,0,PO_106-01_6,945616,0,0
"106",1549_PO,1549_1319,"Skotniki Szkoła",,0,PO_106-01_6,947246,0,0
"106",1548_PO,1548_1351,"Łagiewniki",,1,PO_106-01_7,945617,0,0
"106",1549_PO,1549_1323,"Łagiewniki",,1,PO_106-01_7,947247,0,0
"106",1548_PO,1548_1355,"Skotniki Szkoła",,0,PO_106-01_8,945616,0,0
"106",1549_PO,1549_1328,"Skotniki Szkoła",,0,PO_106-01_8,947246,0,0
"106",1548_PO,1548_1359,"Łagiewniki",,1,PO_106-01_9,945617,0,0
"106",1549_PO,1549_1333,"Łagiewniki",,1,PO_106-01_9,947247,0,0
"106",1548_PO,1548_1363,"Skotniki Szkoła",,0,PO_106-01_10,945616,0,0
"106",1549_PO,1549_1337,"Skotniki Szkoła",,0,PO_106-01_10,947246,0,0
"106",1548_PO,1548_1367,"Łagiewniki",,1,PO_106-01_11,945617,0,0
"106",1549_PO,1549_1340,"Łagiewniki",,1,PO_106-01_11,947247,0,0
"106",1548_PO,1548_1371,"Skotniki Szkoła",,0,PO_106-01_12,945616,0,0
"106",1549_PO,1549_1344,"Skotniki Szkoła",,0,PO_106-01_12,947246,0,0
"106",1548_PO,1548_1378,"Łagiewniki",,1,PO_106-01_13,945617,0,0
